ID , Name , CAS , Year , Status , Is_a_Metabolite , Has_a_Metabolite , Route , VD(hour) , Cl(liter/hour) , t1/2(hour) , PPB(percentage) , F(percentage) , Cmax , Cmax_unit , Tmax(hour) , Solubility
1465, CYCLOTHIAZIDE , 134077-78-4 ,1963, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
1466, CYCLOTHIAZIDE , 134077-81-9 ,1963, DISCONTINUED ,  ,  , ORAL ,,,,,,,  ,, 
1467, ISOETHARINE , 79490-84-9 ,1978, DISCONTINUED ,  ,  , INHALATION ,,,,,,,  ,, 
1468, ISOETHARINE , 52553-26-1 ,1978, DISCONTINUED ,  ,  , INHALATION ,,,,,,,  ,, 
1469, METHYLPHENIDATE , 29419-96-3 ,1955,  ,  ,  , ORAL TRANSDERMAL ,169,33,3.2,15,23.5,73, NANOMOLAR ,6.8, SOLUBILITY FREELY SOLUBLE IN WATER
1470, METHYLPHENIDATE , 29419-97-4 ,1955,  ,  ,  , ORAL TRANSDERMAL ,169,33,3.2,15,23.5,73, NANOMOLAR ,6.8, SOLUBILITY FREELY SOLUBLE IN WATER
1471, ILOPERIDONE , 133454-47-4 ,2009,  ,  ,  , ORAL ,2070,74.5,18,95,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
1472, TOLVAPTAN , 150683-30-0 ,2009,  ,  ,  , ORAL ,195,15.6,12,99,,,  ,, 
1473, BESIFLOXACIN , 141388-76-3 ,2009,  ,  ,  , OPHTHALMIC ,,,7,,,1.09, NANOMOLAR ,, 
1474, PRASUGREL , 150322-43-3 ,2009,  ,  ,  1542  1543  1544  1545  , ORAL ,,,,,79,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE AT PH 6 TO 7.5
1475, PITAVASTATIN , 147511-69-1 ,2009,  ,  ,  , ORAL ,148,8.5,12,99,51,,  ,, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
1476, SAXAGLIPTIN , 361442-04-8 ,2009,  ,  ,  1546  , ORAL ,49.7,13.8,2.5,0,,76, NANOMOLAR ,, SOLUBILITY SPARINGLY SOLUBLE IN WATER
1477, ASENAPINE , 65576-45-6 ,2009,  ,  ,  , SUBLINGUAL ,1462,52,24,95,35,14, NANOMOLAR ,, 
1478, VIGABATRIN , 68506-86-5 ,2009,  ,  ,  , ORAL ,71.5,6.6,7.5,0,,,  ,, SOLUBILITY FREELY SOLUBLE IN WATER
1479, BEPOTASTINE , 125602-71-3 ,2009,  ,  ,  , OPHTHALMIC ,,,,55,,13.14, NANOMOLAR ,1.5, 
1480, TELAVANCIN , 372151-71-8 ,2009,  ,  ,  , INTRAVENOUS INJECTION ,9.4,0.9,8,90,,57.4, MICROMOLAR ,, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
1481, PRALATREXATE , 146464-95-1 ,2009,  ,  ,  , INTRAVENOUS INJECTION ,37,11.46,15,67,,,  ,, SOLUBILITY SOLUBLE IN AQUEOUS SOLUTIONS AT PH 6.5 OR HIGHER
1482, PAZOPANIB , 444731-52-6 ,2009,  ,  ,  , ORAL ,,,30.9,99,,132.9, MICROMOLAR ,3, SOLUBILITY PRACTICALLY INSOLUBLE ABOVE PH 4 IN WATER
1483, ROMIDEPSIN , 128517-07-7 ,2009,  ,  ,  , INTRAVENOUS ,78,28.8,3,93,,0.698, MICROMOLAR ,, 
1484, DALFAMPRIDINE , 504-24-5 ,2010,  ,  ,  , ORAL ,169,20,5.8,98,96,0.318, MICROMOLAR ,, SOLUBILITY SOLUBLE IN WATER
1485, CARGLUMIC ACID , 1188-38-1 ,2010,  ,  ,  , ORAL ,2657,342,5.6,,,,  ,, SOLUBILITY SOLUBLE IN BOILING WATER AND SLIGHTLY SOLUBLE IN COLD WATER
1486, FENOFIBRIC ACID , 42017-89-0 ,2008,  ,  584  ,  , ORAL ,,,20,99,81,,  ,5, SOLUBILITY INSOLUBLE IN WATER
1487, PALIPERIDONE PALMITATE , 199739-10-1 ,2009,  ,  ,  949  1205  , INTRAMUSCULAR ,,,,,,,  ,, SOLUBILITY VERY SLIGHTLY SOLUBLE IN ETHANOL
1488, PALIPERIDONE PALMITATE , 199739-10-1 ,2009,  ,  ,  949  1205  , INTRAMUSCULAR ,,,,,,,  ,, SOLUBILITY VERY SLIGHTLY SOLUBLE IN ETHANOL
1489, ABIRATERONE , 154229-19-3 ,0,  ,  1519  ,  ,  ,19.6,1.1,12,99,,0.64, MICROMOLAR ,, 
1490, CAPSAICIN , 404-86-4 ,2009,  ,  ,  , TOPICAL ,,,1.6,,,15, NANOMOLAR ,, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
1491, TENOFOVIR , 147127-20-6 ,0,  ,  1428  1805  ,  ,  ,84.5,3.4,17,7,25,0.578, MICROMOLAR ,, 
1492, TOLVAPTAN , 150683-30-0 ,2009,  ,  ,  , ORAL ,195,15.6,12,99,,,  ,, 
1493, PRASUGREL , 150322-43-3 ,2009,  ,  ,  1542  1543  1544  1545  , ORAL ,,,,,79,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE AT PH 6 TO 7.5
1494, VIGABATRIN , 68506-86-5 ,2009,  ,  ,  , ORAL ,71.5,6.6,7.5,0,,,  ,, SOLUBILITY FREELY SOLUBLE IN WATER
1495, PRALATREXATE , 146464-95-1 ,2009,  ,  ,  , INTRAVENOUS INJECTION ,105,25.02,15,67,,,  ,, SOLUBILITY SOLUBLE IN AQUEOUS SOLUTIONS AT PH 6.5 OR HIGHER
1496, ALCAFTADINE , 147084-10-4 ,2010,  ,  ,  1541  , OPHTHALMIC ,,,,39.2,,0.195, PICOMOLAR ,0.25, 
1497, DIENOGEST , 65928-58-7 ,2010,  ,  ,  , ORAL ,46,2.9,11,90,91,294.8, NANOMOLAR ,, 
1498, ULIPRISTAL ACETATE , 126784-99-4 ,2010,  ,  ,  1540  , ORAL ,,76.8,32,94,,370.5, NANOMOLAR ,0.9, 
1499, DABIGATRAN ETEXILATE , 211915-06-9 ,2010,  ,  ,  1539  , ORAL ,,,,,,,  ,, SOLUBILITY OF 1.8 MILLIGRAM / MILLILITER
1500, FINGOLIMOD , 162359-55-9 ,2010,  ,  ,  1538  , ORAL ,,,,99.7,93,,  ,, SOLUBILITY FREELY SOLUBLE IN WATER
1501, LEVOMEFOLATE , 151533-22-1 ,2010,  ,  ,  , ORAL ,,,4.5,,,50, NANOMOLAR ,, 
1502, CEFTAROLINE , 402741-13-3 ,2010,  ,  ,  1566  , INTRAVENOUS ,19.9,9.58,1.6,20,,27.7, MICROMOLAR ,, SOLUBILITY WATER SOLUBLE PRODRUG OF CEFTAROLINE
1503, LURASIDONE , 367514-87-2 ,2010,  ,  ,  , ORAL ,6173,234,18,99,,,  ,, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
1504, CABAZITAXEL , 183133-96-2 ,2010,  ,  ,  , INTRAVENOUS INJECTION IV ,4864,48.5,95,91,,270, NANOMOLAR ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
1505, ERIBULIN , 253128-41-5 ,2010,  ,  ,  , INTRAVENOUS ,135,3.1,40,57,,,  ,, 
1506, EZOGABINE , 150812-12-7 ,2011, DISCONTINUED ,  ,  , ORAL ,162.5,32.5,9,80,60,,  ,, SOLUBILITY IS PRACTICALLY INSOLUBLE IN AQUEOUS MEDIA AT PH VALUES ABOVE 4 - AT GASTRIC PH EZOGABINE IS SPARINGLY SOLUBLE IN WATER ABOUT 16 GRAM / LITER
1507, GABAPENTIN ENACARBIL , 478296-72-9 ,2011,  ,  ,  704  , ORAL ,,,,,,,  ,, SOLUBILITY 0.5 MILLIGRAM / MILLILITER
1508, GABAPENTIN ENACARBIL , 478296-72-9 ,2011,  ,  ,  704  , ORAL ,,,,,,,  ,, SOLUBILITY 0.5 MILLIGRAM / MILLILITER IN WATER
1509, VANDETANIB , 443913-73-3 ,2011,  ,  ,  , ORAL ,7450,13.2,456,90,,1.7, MICROMOLAR ,, SOLUBILITY IS PRACTICALLY INSOLUBLE IN WATER WITH A VALUE OF 0.008 MILLIGRAM / MILLILITER AT 25 DEGRE CELSIUS
1510, ROFLUMILAST , 162401-32-3 ,2011,  ,  ,  1537  , ORAL ,188,9.6,17,99,80,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
1511, VILAZODONE , 163521-12-8 ,2011,  ,  ,  , ORAL ,,,25,98,72,0.35, MICROMOLAR ,4.5, 
1512, AZILSARTAN KAMEDOXOMIL , 863031-21-4 ,2011,  ,  ,  1536  , ORAL ,,,,,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
1513, LINAGLIPTIN , 668270-12-0 ,2011,  ,  ,  , ORAL ,1110,76,12,84,30,8.9, NANOMOLAR ,1.5, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER 0.9 MILLIGRAM / MILLILITER
1514, FIDAXOMICIN , 873857-62-6 ,2011,  ,  ,  1535  , ORAL ,,,11.7,,,4.9, NANOMOLAR ,2, 
1515, TELAPREVIR , 402957-28-2 ,2011, DISCONTINUED ,  ,  , ORAL ,252,32.4,4.4,67,,5.16, MICROMOLAR ,, SOLUBILITY IN WATER OF 0.0047 MILLIGRAM / MILLILITER
1516, RILPIVIRINE , 500287-72-9 ,2011,  ,  ,  , ORAL ,,,50,99.7,,,  ,4.5, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER OVER A WIDE PH RANGE
1517, BOCEPREVIR , 394730-60-0 ,2011, DISCONTINUED ,  ,  , ORAL ,772,161,3.4,75,,3.3, MICROMOLAR ,, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
1518, BOCEPREVIR , 394730-60-0 ,2011, DISCONTINUED ,  ,  , ORAL ,772,161,3.4,75,,3.3, MICROMOLAR ,, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
1519, ABIRATERONE ACETATE , 154229-18-2 ,2011,  ,  ,  1489  , ORAL ,,,,,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
1520, DEFERIPRONE , 30652-11-0 ,2011,  ,  ,  , ORAL ,104,37.9,1.9,10,,143.8, MICROMOLAR ,, SOLUBILITY SPARINGLY SOLUBLE IN DEIONIZED WATER
1521, ICATIBANT , 130308-48-4 ,2011,  ,  ,  , SUBCUTANEOUS ,29,14.7,1.4,,97,0.747, MICROMOLAR ,, 
1522, INDACATEROL , 312753-06-3 ,2011,  ,  ,  , INHALATION ,2459,21.05,85.7,95,44,,  ,, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
1523, RIVAROXABAN , 366789-02-8 ,2011,  ,  ,  , ORAL ,50,10,7,93,90,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
1524, TICAGRELOR , 274693-27-5 ,2011,  ,  ,  863  , ORAL ,88,8.7,7,99,36,1.76, MICROMOLAR ,, SOLUBILITY AQUEOUS SOLUBILITY OF APPROXIMATELY 10 MICROGRAM / MILLILITER AT ROOM TEMPERATURE
1525, CLOBAZAM , 22316-47-8 ,2011,  ,  ,  , ORAL ,100,1.7,39,85,100,,  ,, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
1526, RUXOLITINIB , 941678-49-5 ,2011,  ,  ,  , ORAL ,59,19.9,3,97,,,  ,, SOLUBILITY SOLUBLE IN AQUEOUS BUFFERS ACROSS A PH RANGE OF 1 TO 8
1527, AXITINIB , 319460-85-0 ,2012,  ,  ,  , ORAL ,160,38,4.3,99,58,0.072, MICROMOLAR ,, SOLUBILITY IN AQUEOUS MEDIA OVER THE RANGE PH 1.1 TO PH 7.8 IS IN EXCESS OF 0.2 MICROGRAM / MILLILITER
1528, VEMURAFENIB , 918504-65-1 ,2011,  ,  ,  , ORAL ,106,1.3,57,99,,126, MICROMOLAR ,, SOLUBILITY PRACTICALLY INSOLUBLE IN AQUEOUS MEDIA
1529, TAFLUPROST , 209860-87-7 ,2012,  ,  ,  1534  , OPHTHALMIC ,,,,,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
1530, CRIZOTINIB , 877399-52-5 ,2011,  ,  ,  , ORAL ,1772,60,42,91,43,,  ,, SOLUBILITY IN AQUEOUS MEDIA DECREASES OVER THE RANGE PH 1.6 TO PH 8.2 FROM GREATER THAN 10 MILLIGRAM / MILLILITER TO LESS THAN 0.1 MILLIGRAM / MILLILITER
1531, INGENOL MEBUTATE , 75567-37-2 ,2012,  ,  ,  , TOPICAL ,,,,,,,  ,, 
1532, IVACAFTOR , 873054-44-5 ,2012,  ,  ,  , ORAL ,353,17.3,12,99,,1.95, MICROMOLAR ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER < 0.05 MICROGRAM / MILLILITER
1533, VISMODEGIB , 879085-55-9 ,2012,  ,  ,  , ORAL ,21.5,0.15,96,99,31.8,,  ,, SOLUBILITY 0.1 MICROGRAM / MILLILITER AT PH 7
1534, M TAFLUPROST , 209860-88-8 ,0,  ,  1529  ,  ,  ,,,,99,,0.0634, NANOMOLAR ,0.16, 
1535, M FIDAXOMICIN , 1030825-28-5 ,0,  ,  1514  ,  ,  ,,,11.2,,,12.1, NANOMOLAR ,1.02, 
1536, M AZILSARTAN KAMEDOXOMIL , 147403-03-0 ,0,  ,  1512  ,  ,  ,16,0.138,11,99,60,,  ,2.25, 
1537, M ROFLUMILAST , 1026258-58-1 ,0,  ,  1510  ,  ,  ,,,30,97,,,  ,, 
1538, M FINGOLIMOD , 402616-26-6 ,0,  ,  1500  ,  ,  ,1200,6.3,180,99.7,93,,  ,, 
1539, DABIGATRAN , 211914-51-1 ,0,  ,  1499  ,  ,  ,60,2.8,14.5,35,5,,  ,1, 
1540, M ULIPRISTAL ACETATE , 159681-66-0 ,0,  ,  1498  ,  ,  ,,,27,,,159.3, NANOMOLAR ,, 
1541, M ALCAFTADINE , 147083-93-0 ,0,  ,  1496  ,  ,  ,,,2,62.7,,9.28, NANOMOLAR ,1, 
1542, M PRASUGREL , 204204-73-9 ,0,  ,  1474  1493  ,  ,  ,56,139,7,98,79,,  ,0.5, 
1543, M PRASUGREL , 204204-73-9 ,0,  ,  1474  1493  ,  ,  ,56,139,7,98,79,,  ,0.5, 
1544, M PRASUGREL , 204204-73-9 ,0,  ,  1474  1493  ,  ,  ,56,139,7,98,79,,  ,0.5, 
1545, M PRASUGREL , 204204-73-9 ,0,  ,  1474  1493  ,  ,  ,56,139,7,98,79,,  ,0.5, 
1546, M SAXAGLIPTIN , 841302-24-7 ,0,  ,  1476  ,  ,  ,61,13.8,3.1,0,,149, NANOMOLAR ,, 
1547, TROGLITAZONE , 97322-87-7 ,1997, DISCONTINUED ,  ,  , ORAL ,1202,29.7,25,99,,6.39, MICROMOLAR ,, SOLUBILITY PRATICALLY INSOLUBLE IN WATER
1548, TROGLITAZONE , 97322-87-7 ,1997, DISCONTINUED ,  ,  , ORAL ,1202,29.7,25,99,,6.39, MICROMOLAR ,, SOLUBILITY PRATICALLY INSOLUBLE IN WATER
1549, M FESOTERODINE , 207679-81-0 ,0,  ,  800  1452  ,  ,  ,169,13.6,8.59,50,52,11.6, NANOMOLAR ,1.8, 
1550, M DIFLUPREDNATE , 23640-96-2 ,0,  ,  1442  ,  ,  ,,,,,,,  ,, 
1551, CLEVIDIPINE , 167221-71-8 ,2008,  ,  ,  , INTRAVENOUS ,11,30.5,0.25,99.5,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
1552, AMFENAC , 51579-82-9 ,0,  ,  1430  ,  ,  ,,,,99.1,,1.65, NANOMOLAR ,0.75, 
1553, CEFDITOREN , 104145-95-1 ,0,  ,  1425  ,  ,  ,9.3,4.5,1.6,88,,3.55, MICROMOLAR ,, 
1554, UNOPROSTONE , 120373-36-6 ,0,  ,  1424  ,  ,  ,,,0.23,,,3.92, NANOMOLAR ,, 
1555, ARTICAINE , 23964-58-1 ,2000,  ,  ,  , INJECTION ,,,43.8,70,,7.55, MICROMOLAR ,, 
1556, M DOXERCALCIFEROL , 100496-04-6 ,0,  ,  1417  ,  ,  ,,,34.5,,,,  ,8, 
1557, CANDESARTAN , 139481-59-7 ,0,  ,  700  1414  ,  ,  ,8.4,1.4,9,99,15,,  ,, 
1558, EFLORNITHINE , 70052-12-9 ,1990,  ,  ,  , INJECTION TOPICAL ,,,8,,,54.9, NANOMOLAR ,, 
1559, ESTRAMUSTINE , 4891-15-0 ,0,  ,  1389  ,  ,  ,,,13.6,,,,  ,, 
1560, NORPROPOXYPHENE , 66796-40-5 ,0,  ,  215  ,  ,  ,,,33,,,0.46, MICROMOLAR ,, 
1561, M OSELTAMIVIR , 187227-45-8 ,0,  ,  1289  ,  ,  ,24.5,2.1,8,3,,1.22, MICROMOLAR ,, 
1562, M RAPACURONIUM , 736123-17-4 ,0,  ,  1284  ,  ,  ,18.9,25.3,2.3,69,,,  ,, 
1563, M SILDENAFIL , 139755-82-1 ,0,  ,  1282  ,  ,  ,,,,,,,  ,, 
1564, M CLOPIDOGREL , 767612-34-0 ,0,  ,  1280  ,  ,  ,,,0.5,,,64.7, NANOMOLAR ,0.75, 
1565, M CLOPIDOGREL , 767612-34-0 ,0,  ,  1280  ,  ,  ,,,0.5,,,64.7, NANOMOLAR ,0.75, 
1566, M CEFTAROLINE , 700803-62-9 ,0,  ,  1502  ,  ,  ,,,,,,,  ,, 
1567, M QUETIAPINE , 5747-48-8 ,0,  ,  1269  ,  ,  ,,,,,,,  ,, 
1568, M DOLASETRON , 127951-99-9 ,0,  ,  1267  ,  ,  ,377,52,8.1,77,75,1.7, MICROMOLAR ,, 
1569, M DOLASETRON , 127951-99-9 ,0,  ,  1267  ,  ,  ,377,52,8.1,77,75,1.7, MICROMOLAR ,, 
1570, M BECLOMETHASONE DIPROPIONATE , 5534-18-9 ,0,  ,  438  ,  ,  ,424,120,2.7,87,43,16, NANOMOLAR ,0.7, 
1571, APIXABAN , 503612-47-3 ,2012,  ,  ,  , ORAL ,21,2.9,5,87,50,,  ,, SOLUBILITY AQUEOUS SOLUBILITY ACROSS THE PHYSIOLOGICAL PH RANGE IS 0.04 MILLIGRAM / MILLILITER
1572, LOMITAPIDE , 182431-12-5 ,2012,  ,  ,  , ORAL ,1138,19.8,39.7,99.8,7,,  ,, SOLUBILITY SLIGHTLY SOLUBLE IN AQUEOUS SOLUTIONS OF PH 2 TO 5
1573, ICOSAPENT ETHYL , 86227-47-6 ,2012,  ,  ,  1574  , ORAL ,,,,,,,  ,, 
1574, ICOSAPENT , 10417-94-4 ,0,  ,  1573  ,  ,  ,88,0.68,89,99,,,  ,, 
1575, LORCASERIN , 616202-92-7 ,2012,  ,  ,  , ORAL ,,,11,70,,,  ,1.75, SOLUBILITY SOLUBILITY IN WATER GREATER THAN 400 MILLIGRAM / MILLILITER
1576, CABOZANTINIB , 849217-68-1 ,2012,  ,  ,  , ORAL ,349,4.4,55,99.7,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN AQUEOUS MEDIA
1577, PASIREOTIDE , 396091-73-9 ,2012,  ,  ,  , SUBCUTANEOUS INTRAMUSCULAR ,100,7.6,12,88,,,  ,, 
1578, TERIFLUNOMIDE , 163451-81-8 ,2012,  ,  822  ,  , ORAL ,11,0.0305,456,99,80,233.3, MICROMOLAR ,9, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
1579, PERAMPANEL , 380917-97-5 ,2012,  ,  ,  , ORAL ,109,0.72,105,95,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
1580, CARFILZOMIB , 868540-17-4 ,2012,  ,  ,  , INTRAVENOUS ,28,207,1,97,,5.8, MICROMOLAR ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
1581, LINACLOTIDE , 851199-59-2 ,2012,  ,  ,  1582  , ORAL ,,,,,,, LIMIT ,, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
1582, M LINACLOTIDE , 851199-59-2 ,0,  ,  1581  ,  ,  ,,,,,,,  ,, 
1583, MIRABEGRON , 223673-61-8 ,2012,  ,  ,  , ORAL ,1670,57,50,71,29,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER 0.082 MILLIGRAM / MILLILITER
1584, AVANAFIL , 330784-47-9 ,2012,  ,  ,  , ORAL ,,,5,99,,,  ,0.62, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
1585, REGORAFENIB , 755037-03-7 ,2012,  ,  ,  , ORAL ,,,28,99.5,76,5.1, MICROMOLAR ,4, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
1586, ELVITEGRAVIR , 697761-98-1 ,2012,  ,  ,  , ORAL ,,,12.9,98,,3.8, MICROMOLAR ,4, SOLUBILITY LESS THAN 0.3 MICROGRAMS PER ML IN WATER
1587, COBICISTAT , 1004316-88-4 ,2012,  ,  ,  , ORAL ,,,3.5,97,,1.4, MICROMOLAR ,3, SOLUBILITY OF 0.1 MG PER ML
1588, ACLIDINIUM , 727649-81-2 ,2012,  ,  ,  , INHALATION ,300,170,6.5,,6,,  ,, SOLUBILITY VERY SLIGHTLY SOLUBLE IN WATER
1589, TOFACITINIB , 477600-75-2 ,2012,  ,  ,  , ORAL ,87,20,3,40,74,,  ,, SOLUBILITY FREELY SOLUBLE IN WATER
1590, ENZALUTAMIDE , 915087-33-1 ,2012,  ,  ,  1591  , ORAL ,110,0.56,139,97,,35.7, MICROMOLAR ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
1591, M ENZALUTAMIDE , - ,0,  ,  1590  ,  ,  ,288,1.02,196,95,,28.2, MICROMOLAR ,, 
1592, BOSUTINIB , 380843-75-4 ,2012,  ,  ,  , ORAL ,6080,189,22.5,94,,0.37, MICROMOLAR ,, SOLUBILITY ABOVE PH 5 THE SOLUBILITY OF BOSUTINIB MONOHYDRATE REDUCES RAPIDLY
1593, PONATINIB , 943319-70-8 ,2012,  ,  ,  , ORAL ,1223,35.3,24,99,,0.13, MICROMOLAR ,, SOLUBILITY 0.16 MCG / MILLILITER AT PH 7
1594, OMACETAXINE MEPESUCCINATE , 26833-87-4 ,2012,  ,  ,  , SUBCUTANEOUS ,141,16.3,6,50,,,  ,, 
1595, BEDAQUILINE , 843663-66-1 ,2012,  ,  ,  , ORAL ,164,0.03,3960,99.9,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN AQUEOUS MEDIA
1596, POMALIDOMIDE , 19171-19-8 ,2013,  ,  ,  , ORAL ,100,8,9.5,28,,0.27, MICROMOLAR ,, SOLUBILITY LOW SOLUBILITY IN WATER
1597, OSPEMIFENE , 128607-22-7 ,2013,  ,  ,  , ORAL ,448,9.16,26,99,,3.16, MICROMOLAR ,, SOLUBILITY INSOLUBLE IN WATER
1598, DABRAFENIB , 1195765-45-7 ,2013,  ,  ,  , ORAL ,70.3,25.7,8,99.7,95,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE ABOVE PH 4
1599, POMALIDOMIDE , 19171-19-8 ,2013,  ,  ,  , ORAL ,100,8,9.5,28,,0.27, MICROMOLAR ,, SOLUBILITY LOW SOLUBILITY IN WATER
1600, TRAMETINIB , 871700-17-3 ,2013,  ,  ,  , ORAL ,214,4.9,4.35,97.4,72,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN THE PH RANGE OF 2 TO 8 IN WATER
1601, PICOSULFATE , 10040-45-6 ,2012,  ,  ,  1608  , ORAL ,,,7.4,,,7.3, NANOMOLAR ,7, 
1602, ALOGLIPTIN , 850649-61-5 ,2013,  ,  ,  , ORAL ,417,14,21,20,100,,  ,, SOLUBILITY SPARINGLY SOLUBLE IN WATER
1603, CANAGLIFLOZIN , 842133-18-0 ,2013,  ,  ,  , ORAL ,119,11.5,13.1,99,65,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER FROM PH 1.1 TO 12.9
1604, GLYCEROL PHENYLBUTYRATE , 611168-24-2 ,2013,  ,  ,  1416  , ORAL ,,,,,,,  ,, SOLUBILITY INSOLUBLE IN WATER
1605, VILANTEROL , 503068-34-6 ,2013,  ,  ,  , INHALATION ,165,5.3,21.3,93.9,27.3,,  ,, SOLUBILITY PRATICALLY INSOLUBLE IN WATER
1606, NEOSTIGMINE , 59-99-4 ,2013,  ,  ,  , INTRAVENOUS ,49,34,1.14,20,,,  ,, SOLUBILITY SOLUBLE IN WATER
1607, PHENYLACETATE , 7631-42-7 ,0,  ,  1416  ,  ,  ,,,1.15,51,,205.8, MICROMOLAR ,3.7, SOLUBILITY SOLUBLE IN WATER
1608, M PICOSULFATE , 603-41-8 ,0,  ,  1601  ,  ,  ,,,,,,,  ,, 
1609, NORFLUOXETINE , 83891-03-6 ,0,  ,  561  1174  ,  ,  ,,,240,,,559, NANOMOLAR ,, 
1610, NORFLUOXETINE , 83891-03-6 ,0,  ,  561  1174  ,  ,  ,,,240,,,559, NANOMOLAR ,, 
1611, DIACETOLOL , 22568-64-5 ,0,  ,  558  1172  ,  ,  ,,,10.5,7.5,,,  ,3.5, 
1612, DIACETOLOL , 22568-64-5 ,0,  ,  558  1172  ,  ,  ,,,10.5,7.5,,,  ,3.5, 
1613, PYRAZINOIC ACID , 98-97-5 ,0,  ,  1062  ,  ,  ,,,,,,,  ,, 
1614, RIOCIGUAT , 625115-55-1 ,2013,  ,  ,  , ORAL ,30,2.6,9.5,95,94,,  ,, SOLUBILITY IN WATER (4 MILLIGRAM / LITER)
1615, MACITENTAN , 441798-33-0 ,2013,  ,  ,  1616  , ORAL ,50,2.1,16,99,,,  ,, SOLUBILITY NOT SOLUBLE IN WATER
1616, M MACITENTAN , 1103522-45-7 ,0,  ,  1615  ,  ,  ,40,0.6,48,99,,,  ,, 
1617, VORTIOXETINE , 508233-74-7 ,2013,  ,  ,  , ORAL ,2600,27.3,66,98,75,110, NANOMOLAR ,, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
1618, AFATINIB , 850140-72-6 ,2013,  ,  ,  , ORAL ,,,37,95,92,,  ,3.5, SOLUBILITY SOLUBLE IN WATER
1619, LEVOMILNACIPRAN , 96847-54-0 ,2013,  ,  ,  , ORAL ,430,25,12,22,92,1.38, MICROMOLAR ,, 
1620, ESLICARBAZEPINE , 104746-04-5 ,0,  ,  1621  ,  ,  ,56.6,2.4,16,40,,,  ,, 
1621, ESLICARBAZEPINE ACETATE , 236395-14-5 ,2013,  ,  ,  1620  , ORAL ,,,,,,,  ,, 
1622, DOLUTEGRAVIR , 1051375-16-6 ,2013,  ,  ,  , ORAL ,17.4,1,14,98.9,,9.9, MICROMOLAR ,, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
1623, IBRUTINIB , 936563-96-1 ,2013,  ,  ,  , ORAL ,10000,1000,5,97.3,,,  ,, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
1624, MONOMETHYL FUMARATE , 2756-87-8 ,0,  ,  1625  ,  ,  ,63,43.6,1,36,,12.9, MICROMOLAR ,2.25, 
1625, DIMETHYL FUMARATE , 624-49-7 ,2013,  ,  ,  1624  , ORAL ,,,,,,,  ,, SOLUBILITY HIGHLY SOLUBLE IN WATER
1626, SOFOSBUVIR , 1190307-88-0 ,2013,  ,  ,  1627  , ORAL ,,,0.4,63,,,  ,1.25, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
1627, M SOFOSBUVIR , 1015073-42-3 ,0,  ,  1626  ,  ,  ,,,27,,,,  ,3, 
1628, SIMEPREVIR , 923604-59-5 ,2013, DISCONTINUED ,  ,  , ORAL ,,,25.5,99.9,62,2.58, MICROMOLAR ,5, SOLUBILITY PRACTICALLY INSOLUBLE IN WATER
1629, UMECLIDINIUM , 869113-09-7 ,2013,  ,  ,  , INHALATION ,86,5.4,11,89,,,  ,, SOLUBILITY SLIGHTLY SOLUBLE IN WATER
