sort code,Generic Name,Brand Name,MOA/Target,"MW (free base/acid, no hydrate)",Dose,Dose Unit,Route,infusion,dose schedule,Cmax (uM),Cmax (mol/liter),Cmax (g/l),Cmax (ng/ml),Cmax (mg/l),Cmax (raw units),Tmax   hr,T1/2        hr,AUC  (raw units),AUC   (ng•hr/ml),Cl,Vd,Protein binding,"Css, ave",Initial U.S. approval,Reference,pubmed link,Reference URL,Drug Product Label URL,Cancer Indication,Notes,unit list,route list
133,Porfimer,Photofrin,Photosensitizer,1179,2,mg/kg,IV,3-5 min,-,33.9,3.39E-05,0.04,40000,40,40 ug/ml,-,415,2400 ug•hr/ml,2400000,0.051 ml/min/kg,-,90%,,1995,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/020451s023lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Porfimer,"Esophageal:  endobronchial non-small-cell lung cancer (NSCLC),  ablation of high-grade dysplasia in Barrett’s esophagus",Photodynamic therapy with PHOTOFRIN® is a two-stage process. The first stage is the intravenous injection of PHOTOFRIN®.  Illumination with 630 nm wavelength laser light constitutes the second stage of therapy. ,,
134,Pralatrexate  ,Folotyn ,Nucleoside/Antimetab: DHFR inhibitor,477,40,mg/m2,IV,5 min,-,10.3,1.03E-05,0.0049,4900,4.9,4.9 ug/ml,-,1.8,4.9 ug•hr/ml,4900,417 ml/min (S) and 191 ml/min ®,105(S) and 37(R)  L,67%,,2009,"Cancer Chemother Pharmacol 2006, 57(5): 671",http://www.ncbi.nlm.nih.gov/pubmed/16136310,http://link.springer.com/article/10.1007%2Fs00280-005-0080-x,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Pralatrexate,Lymphoma: peripheral T-cell lymphoma (PTCL). ,given with probenecid 70 mg/m2 IV.  Recommended dose is 30 mg/m2.  Drug is mixture of R and S diastereomers,,
135,Prednisone,Deltasone,Immunomodulator: Glucocorticoid,358,50,mg,PO,-,-,0.145,1.45E-07,0.000052,52,0.052,52 ug/L,-,-,-,-,-,-,extensive,,1974,"J Pharmacokinet Biopharm 1981, 9(1): 1",http://www.ncbi.nlm.nih.gov/pubmed/7310640,http://link.springer.com/article/10.1007/BF01060885,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Deltasone,"Leukemia and lymphoma in adults,  Acute leukemia of childhood",,,
136,Procarbazine   ,Matulane ,Alkylating/DNA damage,221,300,mg,PO,-,-,3.13,3.13E-06,0.000692,692,0.69,0.692 ug/ml,0.21,0.154,0.217 ug•hr/ml,217,35.8 L/min,435 L,-,,1969,"Anti-Cancer Drugs 2006, 17(1): 75;  see also Clin Cancer Res 2006, 12(17): 5174",http://www.ncbi.nlm.nih.gov/pubmed/16317293,http://journals.lww.com/anti-cancerdrugs/pages/articleviewer.aspx?year=2006&issue=01000&article=00010&type=abstract,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Procarbazine,Lymphoma: Hodgkin's disease,,,
137,Quinacrine,Acrichine,NF-kappaB Activation Inhibitor; sPLA2 Inhibitor,400,100,mg,PO,-,TID,0.3,3.00E-07,0.00012,120,0.12,300-1000 nM,-,-,-,-,-,-,80-90%,,1932,Dement Geriatr Cogn Disord 2004;17:158–163,http://www.ncbi.nlm.nih.gov/pubmed/14739538,http://www.karger.com/Article/FullText/76350,unavailable,not approved for cancer indications,not approved for cancer indications; discontinued;   plasma levels of up to 2.5 micromolar were observed folloing 84 days of treatment at 300 mg/d;  long t1/2; pronounced tissue accumulation  ,,
138,Raloxifene   ,Evista,Estrogen Receptor agonist/antagonist; SERM,474,60,mg,PO,-,-,0.0011,1.06E-09,0.0000005,0.5,0.0005,0.5 (ng/ml)/(mg/kg),-,27.7,27.2 (ng•hr/ml)/(mg/kg),27.2 (ng•hr/ml)/(mg/kg),44.1 L/kg.hr,2348 L/kg,95%,,1997,"Drug Product Label; see also Breast Cancer Res Treat 2008, 111(2): 377",http://www.ncbi.nlm.nih.gov/pubmed/17952589,http://link.springer.com/article/10.1007%2Fs10549-007-9787-1,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Evista,Breast:  Reduction in the Risk of Invasive Breast Cancer in Postmenopausal Women,"reported exposure normalized for dose (mg/kg), so exposure calculated for 60 kg patient (1 mg/kg); see also Breast Cancer Res Treat 2008, 111(2): 377, giving Cmax at 1.46 ng/ml",,
139,Regorafenib,Stivarga,"Kinase inhibitor (Tyrosine): RET/VEGFR/ RAF, others",483,160,mg,PO,-,qd,8.08,8.08E-06,0.0039,3900,3.9,3.9 ug/ml,4,28,58.3 ug•hr/ml,58300,-,-,99.50%,,2012,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/203085s004lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Regorafenib,"Colon: colorectal Cancer,   Gastrointestinal Stromal Tumors","Cmax given for steady state; single dose Cmax is 2.5 ug/ml; AUC 70.4 ug.hr/ml.  Main circulating metabolites of regorafenib measured at steady-state in human plasma are M-2 (N-oxide) and M-5 (N-oxide and N-desmethyl), both of them having similar in vitro pharmacological activity and steady-state concentrations as regorafenib.",,
140,Romidepsin  ,Istodax ,HDAC inhibitor,541,14,mg/m2,IV,4 h,-,0.697,6.97E-07,0.000377,377,0.38,377 ng/ml,-,3,1549 ng•hr/ml,1549,11.6 L/h/m2,8.6 L/m2,92-94%,,2009,"Drug Product Label; see also Clin Cancer Res 2002, 8(3): 718",http://www.ncbi.nlm.nih.gov/pubmed/11895901,http://clincancerres.aacrjournals.org/content/8/3/718.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Romidepsin,"Lymphoma: cutaneous T-cell lymphoma (CTCL),  peripheral T-cell lymphoma (PTCL)","Also known as depsipeptide, FK-228",,
141,Rucaparib,Rubraca,PARP inhibitor,323,600,mg,PO,,BID,6,6.00E-06,0.00194,1940,1.94,1940 ng/ml,1.9,17,16900 ng•hr/ml,16900,15.3 - 79.2 L/h,113-262 L,70%,,2016,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/209115s000lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Rucaparib,Ovarian: patients with deleterious BRCA mutation (germline and/or somatic) associated advanced ovarian cancer who have been treated with two or more chemotherapies. Select patients for therapy based on an FDA-approved companion diagnostic for RUBRACA.,"In conjunction with the drug approval, FDA approved the FoundationFocus CDxBRCA test (Foundation Medicine Inc.), a next-generation sequencing (NGS)-based companion diagnostic to identify patients with advanced ovarian cancer eligible for treatment with rucaparib. The test detects alterations in BRCA1 and BRCA2 genes in the tumor tissue of ovarian cancer patients.",,
142,Ruxolitinib,Jakafi,"Kinase inhibitor (Tyrosine):  JAK1, JAK2",306,25,mg,PO,-,BID,1.09,1.09E-06,0.00033,335,0.33,1093 nM,0.63,2.3,3200 nmol•hr/L,979,-,-,97%,,2011,"Drug Metab Dispos 2010, 38(11): 2023",http://www.ncbi.nlm.nih.gov/pubmed/20699411,http://dmd.aspetjournals.org/content/38/11/2023.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Ruxolitinib,Myelofibrosis; polycythemia vera,Dose (5-25 mg BID) is based on platelet count,,
143,Sildenafil,Viagra,PDE-5  cGMP-phosphodiesterase inhibitor,475,100,mg,PO,-,-,0.794,7.94E-07,0.000377,377,0.38,377 ng/ml,1,2.76,1295 ng•hr/ml,1295,-,105 L,96%,,1998,"Br J Clin Pharmacol 2010,  69 (1): 23–26; see also Br J Clin Pharmacol 2002,  53: 45S-52S; hi dose 200 mg yielded 2.18 uM Cmax.",http://www.ncbi.nlm.nih.gov/pubmed/20078609,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2805874/,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Sildenafil,not approved for cancer indications;  pulmonary arterial hypertension,"not approved for cancer indications:  active metabolite N-desmethyl (via cyp3A4) shows 50% potency, 40% exposure of parent",,
144,Sirolimus (Rapamycin),Rapamune,Immunomodulator: FKBP-12 binding,914,2,mg,PO,-,-,0.016,1.64E-08,0.000015,15,0.015,15.0 ng/ml,3.5,62,230 ng•hr/ml,230,139 ml/hr/kg,12 L/kg,92%,,1999,"Drug Product Label; see also Br J Cancer 2010, 103(11): 1637",http://www.ncbi.nlm.nih.gov/pubmed/21045832,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2994217/,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Sirolimus,not approved for cancer indications; Prophylaxis of Organ Rejection in Renal Transplantation,"not approved for cancer indications: 3A4 substrate; PK strongly influenced by concurrent 3A4 inhibitors, e.g., cyclosporine",,
145,Sonidegib,Odomzo,Smoothened receptor antagonist/ Hedge Hog inhibitor,485,200,mg,PO,-,q.d.,2.12,2.12E-06,0.00103,1030,1,1030 ng/ml,4-Feb,672,22 ug•hr/mL,22000,-,9166 L,>97%,,2015,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/205266s000lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Sonidegib,Basal cell carcinoma,Cmax is estimated at steady state,,
146,Sorafenib ,Nexavar ,Kinase inhibitor (Tyrosine):  Multi-kinase,465,400,mg,PO,-,BID,20.1,2.01E-05,0.00935,9350,9.4,9.35 mg/L,2.5,23.8,107 mg•hr/L,107000,-,-,99.50%,,2005,"J Clin Oncol 2005, 23(5): 965",http://www.ncbi.nlm.nih.gov/pubmed/15613696,http://jco.ascopubs.org/content/23/5/965.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Sorafenib,"Liver: Hepatocellular Carcinoma,  Renal Cell Carcinoma,  Differentiated Thyroid Carcinoma",Cmax  following multiple dosing,,
147,Streptozocin,Zanosar,Alkylating/DNA damage,265,1500,mg/m2,IV,push,-,1438,1.44E-03,0.38,381400,381,381.4 ug/ml,-,0.22,4329 ug•min/ml,72150,478 ug/min,-,-,,1982,J Clin Pharmacol. 1977 Jul;17(7):379-88,http://www.ncbi.nlm.nih.gov/pubmed/142097,http://onlinelibrary.wiley.com/doi/10.1002/j.1552-4604.1977.tb04620.x/abstract,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Streptozocin,Pancreatic: metastatic islet cell carcinoma of the pancreas.,Maximum single dose is 1500 mg/m2,,
148,Sunitinib Malate  ,Sutent ,Kinase inhibitor (Tyrosine):  Multi-kinase,398,50,mg,PO,-,q.d. X 28 d,0.181,1.81E-07,0.0000722,72,0.072,72.2 ng/ml,8.5,41-86,1296 ng•hr/ml,1296,46.4 L/h,2230 L,95%,,2006,"J Clin Oncol 2006, 24(1):25-35",http://www.ncbi.nlm.nih.gov/pubmed/16314617,http://jco.ascopubs.org/content/24/1/25.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Sunitinib,"Gastrointestinal Stromal Tumor (GIST),  Advanced Renal Cell Carcinoma (RCC),  Advanced Pancreatic Neuroendocrine Tumors (pNET)",Cmax following day 28 of daily administration; first dose Cmax= 27.7 ng/ml,,
149,Tacrolimus,Prograf,Immunomodulator: FKBP-12 binding,804,5,mg,PO,-,-,0.037,3.69E-08,0.0000297,30,0.03,29.7 ng/ml,1.6,34.8,243 ng•hr/ml,243,0.041 L/hr/kg,1.94 L/kg,99%,,1994,Drug Product Label,n/a,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/050708s045,050709s038lbl.pdf",https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Tacrolimus,"not approved for cancer indications;  Prophylaxis of Organ Rejection in Kidney,  Liver and Heart Transplant",not approved for cancer indications,,
150,Tamoxifen Citrate  ,Nolvadex ,Estrogen Receptor Antagonist,372,20,mg,PO,-,-,0.108,1.08E-07,0.00004,40,0.04,40 ng/ml,5,120-168,-,-,-,-,>99%,122 ng/ml,1977,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2006/017970s054lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Tamoxifen,Breast: metastatic;  Ductal Carcinoma in Situ (DCIS):,"see also: Clin Pharmacol Ther 1998, 64(6): 648 80 mg PO dose yields 145 ng/ml",,
151,Tegafur,Utefos,Nucleoside/Antimetab: Pyrimidine antagonist,200,50,mg/m2,PO,-,q.d.,19,1.90E-05,0.003803,3803,3.8,3083 ng/ml,1,7.88,26480 ng•hr/ml,26480,-,-,-,,1972,"Clinical Cancer Research 2002, 8, 2116–2122 ",http://www.ncbi.nlm.nih.gov/pubmed/12114411,http://clincancerres.aacrjournals.org/content/8/7/2116.long,unavailable,"Breast:  Carcinoma of bladder, Head and neck cancer, Liver carcinoma, Malignant tumor of digestive organ, Non-small cell lung cancer, Renal cell carcinoma
","5-FU prodrug; no current Drug Label available; has been used in Breast cancer, Carcinoma of bladder, Head and neck cancer, Liver carcinoma, Malignant tumor of digestive organ, Non-small cell lung cancer, Renal cell carcinoma",,
152,Temozolomide  ,Temodar ,Alkylating/DNA damage,194,150,mg/m2,IV,90 min,-,37.6,3.76E-05,0.0073,7300,7.3,7.3 ug/ml,1,1.8,24.6 ug•hr/mL,24600,5.5 L/h/m2,0.4 L/kg,15%,,1999,Drug Product Label; see also Clin Cancer Res. 2004 Mar 1;10(5):1645-56.,http://www.ncbi.nlm.nih.gov/pubmed/15014015,http://clincancerres.aacrjournals.org/content/10/5/1645.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Temozolomide,"Brain: Glioblastoma Multiforme,  Refractory Anaplastic Astrocytoma",Active metabolite MTIC Cmax=276 ng/ml,,
154,Temsirolimus  ,Torisel ,"Immunomodulator: FKBP-12 binding, mTOR inhibitor",1030,25,mg,IV,30-60 min,-,0.568,5.68E-07,0.000585,585,0.59,585 ng/ml,-,17,1627 ng•h/mL,1627,-,-,87%,,2007,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/022088s018lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Temsirolimus,Kidney: renal cell carcinoma,Sirolimus is an active metabolite,,
155,Teniposide,Vumon,Topo II ,657,300-750,mg/m2,IV,72 h,-,23.1,2.31E-05,0.0152,15200,15,15.2 mg/L **,-,-,-,-,-,-,>99%,15.2 mg/L,1992,"J Clin Oncol 5 (7), 1987: 1007-1014 ",http://www.ncbi.nlm.nih.gov/pubmed/3598607,http://jco.ascopubs.org/content/5/7/1007.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Teniposide,Leukemia: childhood acute lymphoblastic leukemia.,** plasma steady state exposure in responders reported here;  high variability following brief injection; ,,
156,Testosterone enanthate,Delatestryl,Androgen Receptor Agonist,401,200,mg,IM,-,q. 2 wk,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,-,-,-,-,-,-,-,,1953,"J Clin Endocrinol Metab 1999, 84:3469-3478",http://www.ncbi.nlm.nih.gov/pubmed/10522982,http://press.endocrine.org/doi/10.1210/jcem.84.10.6078?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub=pubmed,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=TESTOSTERONE+ENANTHATE,Breast: Metastatic mammary cancer ,exposure reported as testosterone,,
158,Thalidomide  ,Thalomid ,Immunomodulator: TNF-alpha Production Inhibitor,258,200,mg,PO,-,-,8.91,8.91E-06,0.0023,2300,2.3,2.30 ug/ml,5.8,4.12,23.3 ug•hr/ml,23300,9.09 L/h,53 L,55% (+)-(R);  66% (-)-(S),0.94 ug/ml,1998,Clin Pharmacol Ther. 1999 May;65(5):483-90.,http://www.ncbi.nlm.nih.gov/pubmed/10340913,http://onlinelibrary.wiley.com/doi/10.1016/S0009-9236(99)70067-6/abstract,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Thalidomide,Multiple Myeloma,,,
159,Thioguanine,Tabloid,Nucleoside/Antimetab: purine antagonist,167,40,mg/m2,PO,-,q.d. x 4 wk,0.313,3.13E-07,0.00005233,52,0.052,313 pmol/ml,1.5,-,586 pmol•hr/L,0.0979,-,-,-,,1966,"Br J Clin Pharmacol 2001, 51(6): 531",http://www.ncbi.nlm.nih.gov/pubmed/11422012,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2014483/,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Thioguanine,Leukemia: Acute Nonlymphocytic Leukemias,"High variability; Rapidly converted to 6-thioguanylic acid (TGMP).There is technical difficulty in determining plasma concentrations of parent, which are seldom greater than 1 to 2 mcg/mL after a therapeutic oral dose. More significantly, thioguanine enters rapidly into the anabolic and catabolic pathways for purines, and the active intracellular metabolites have appreciably longer half-lives than the parent drug. ",,
160,Thiotepa,Thioplex,Alkylating/DNA damage,189,80,mg,IV,push,-,9.66,9.66E-06,0.001828,1828,1.8,1828 ng/ml,-,2.3,4127 ng•hr/ml,4127,419 ml/min,-,10%,,1959,Drug Product Label; protein binding found in: Cancer Chemother Pharmacol. 1987;20(4):319-23.,http://www.ncbi.nlm.nih.gov/pubmed/3121202,http://link.springer.com/article/10.1007/BF00262584,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Thiotepa,"Breast:  Adenocarcinoma of the breast, ovary, papillary carcinoma of the urinary bladder.  For controlling intracavitary effusions secondary to diffuse or localized neoplastic diseases of various serosal cavities. ",Prodrug for TEPA,,
162,Topotecan   ,Hycamtin ,Topo I,421,2.3,mg/m2,PO,-,-,0.015,1.49E-08,0.0000063,6.3,0.0063,6.3 ng/ml,,3.49,22.7 ng•hr/ml,22.7,-,-,35%,,1996,"Br J Cancer 1999, 80(9): 1380",http://www.ncbi.nlm.nih.gov/pubmed/10424739,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2363072/,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Topotecan,"Lung: Small Cell Lung Cancer, relapsed",Data are for topotecan lactone; rapid interconversion between lactone and carboxylate;  Cmax for total (L + C) is 10.2 ng/ml.,,
163,Toremifene  ,Fareston ,Estrogen Receptor agonist/antagonist,406,120,mg,PO,-,-,4.56,4.56E-06,0.00185,1850,1.9,1.85 ug/ml,2.9,56.5,115.1 ug•hr/ml,115100,3.31 L/h,-,>99.5%,,1997,Breast Cancer (2009) 16:113–120,http://www.ncbi.nlm.nih.gov/pubmed/18936884,http://link.springer.com/article/10.1007%2Fs12282-008-0075-7,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Toremifene,Breast:  metastatic,Dose recommended in label is 60 mg PO,,
164,Trabectedin ,Yondelis,Alkylating/DNA damage,762,1.5,mg/m2,IV,24 hr,q.3 weeks,0.0024,2.42E-09,0.00000184,1.8,0.0018,1.84 ng/ml,-,175,56.8 ng•hr/ml,56.8,57.7 L/h,7509 L,97%,,2015,FDA NDA 207953 Clinical Pharmacology and Biopharmaceutics Review,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/207953Orig1s000ClinPharmR.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Trabectedin,Sarcoma: unresectable or metastatic liposarcoma or leiomyosarcoma,,,
165,Trametinib,Mekinist,"Kinase inhibitor (Tyrosine/Threonine): MEK1, 2 inhibitor",615,2,mg,PO,-,qd,0.021,2.11E-08,0.000013,13,0.013,13.0 ng/ml,2,3.9-4.8,69.7 ng•hr/ml,69.7,4.9 L/h,214 L,97%,,2013,"Eu J Cancer 2013, 49:2077-2085",http://www.ncbi.nlm.nih.gov/pubmed/23583440,http://www.sciencedirect.com/science/article/pii/S0959804913002232,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Trametinib,Melanoma: unresectable or metastatic with BRAF V600E or V600K mutations,,,
166,Tretinoin,Vesanoid,RAR nuclear receptors,300,45,mg/m2,PO,-,,1.15,1.15E-06,0.000347,347,0.35,347 ng/ml,2.2,-,682 ng•hr/ml,682,-,-,>95%,,1995,"Cancer Res 1992, 52(8): 2138; and Drug Product Label",http://www.ncbi.nlm.nih.gov/pubmed/1559217,http://cancerres.aacrjournals.org/content/52/8/2138.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Tretinoin,Leukemia: acute promyelocytic leukemia,rapid induction of metabolism reduces Cmax on repeated dosing,,
167,Triptorelin,Trelstar Depot,GnRH agonist,1311,22.5,mg,IM,-,q. 24 wk,0.034,3.36E-08,0.0000441,44,0.044,44.1 ng/ml,3-Jan,-,-,-,-,30-33 L,0%,,2000,Drug Product Label,n/a,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/020715s032,021288s028,022437s008lbl.pdf",https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Triptorelin,"Prostate, advanced",,,
168,Valrubicin,Valstar,Topo II,724,800,mg,Intra Cisternal,-,q. wk,0.011,1.11E-08,0.000008,8,0.008,plasma: 8 ng/ml  Bladder: 5-13 uM,6-Feb,-,78 nmol•hr/L,56.4,-,-,>99%,,1998,Drugs & Aging 1999 Jul; 15 (1): 69-75,http://www.ncbi.nlm.nih.gov/pubmed/10459733,http://link.springer.com/article/10.2165/00002512-199915010-00006,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Valrubicin,Urinary bladder: intravesical therapy of BCG-refractory carcinoma in situ (CIS) of the urinary bladder ,note local delivery (intravesicular bladder); Bladder Cmax is 5-13 uM; systemic exposure is very low,,
169,Vandetanib,Caprelsa,"Kinase inhibitor (Tyrosine):  VEGFR, EGFR, RET",475,300,mg,PO,-,-,2.16,2.16E-06,0.001025,1025,1,1025 ng/ml,5,456,20460 ng•hr/ml,20460,13.2 L/h,7450 L,90%,,2011,"Ann Oncol 2009, 20(3): 486; and Drug Product Label",http://www.ncbi.nlm.nih.gov/pubmed/19088171,https://annonc.oxfordjournals.org/content/20/3/486.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Vandetanib,Thyroid: medullary Thyroid Cancer,,,
170,Vemurafenib  ,Zelboraf ,Kinase inhibitor (Tyrosine):  B-Raf ,490,960,mg,PO,-,BID,127,1.27E-04,0.062,62000,62,62 ug/ml,3,57,601 ug•hr/ml,601000,31 L/d,106 L,>99%,,2011,Drug Product Label; see also N Engl J Med. 2010; 363:809-19.,http://www.ncbi.nlm.nih.gov/pubmed/20818844,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3724529/,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Vemurafenib,"Melanoma, metastatic with BRAF V600E mutation ",,,
171,Venetoclax,Venclexta,BCL-2 inhibitor,468,400,mg,PO,-,q.d.,4.48,4.48E-06,0.0021,21000,2.1,2.1 ug/ml,8-May,26,32.8  ug•hr/ml,32800,-,256-321 L,>99%,,2016,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/208573s000lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Venetoclax,"Leukemia: chronic lymphocytic leukemia (CLL) with 17p deletion, as detected by an FDA approved test, who have received at least one prior therapy.","The recommended dose is a ramp-up schedule over 5 weeks.  Dosing is initiated at 20 mg for 1 week, followed by 1 week at each dose level of 50 mg, 100 mg, and 200 mg, then the recommended daily dose of 400 mg.",,
172,Vinblastine ,Velban ,Tubulin: microtubule destabilizing,811,1**,mg/m2,IV,bolus,-,0.035,3.45E-08,0.000028,28,0.028,28 ug/L **,0.12,26.2,45 ug•hr/L,45,0.8 L/h/kg,-,98-99%,,1965,"J Pediatr Hematol/Oncol 2006, 28(11): 720",http://www.ncbi.nlm.nih.gov/pubmed/17114958,http://journals.lww.com/jpho-online/pages/articleviewer.aspx?year=2006&issue=11000&article=00004&type=abstract,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Vinblastine,"Lymphoma: Generalized Hodgkin’s disease, Lymphocytic lymphoma, Histiocytic lymphoma, Mycosis fungoides, Advanced carcinoma of the testis, Kaposi’s sarcoma, Letterer-Siwe disease (histiocytosis X), Choriocarcinoma resistant to other chemotherapeutic agents, Carcinoma of the breast","Pediatric.  **Low dose: label suggests 3.7-11.1 mg/m2, so this is likely to be a very low estimate of clinically achievable Cmax. ",,
173,Vincristine,Vincasar PFS ,Tubulin: microtubule destabilizing,825,1,mg/m2,IV,bolus,-,0.007,6.52E-09,0.0000054,5.4,0.0054,6.52 nM,-,-,-,-,-,-,75%,,1963,"Cancer Res 1981;41:3551-3555; see liposomal formulations;  J Clin Pharmacol 2006, 46(7): 727; see also Cancer Chemother Pharmacol. 1998;41(5):347-52",http://www.ncbi.nlm.nih.gov/pubmed/7260915,http://cancerres.aacrjournals.org/content/41/9_Part_1/3551.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Vincasar,"Leukemia: acute leukemia;  in combination with other oncolytic agents in Hodgkin’s disease, non-Hodgkin’s malignant lymphomas, rhabdomyosarcoma, neuroblastoma, and Wilms’ tumor.",Label suggests 1.5-2 mg/m2 as usual dose,,
174,Vincristine (liposomal),Marqibo,Tubulin: microtubule destabilizing,825,2.25,mg/m2,IV,60 min,q. 7 d,1.479,1.48E-06,0.00122,1220,1.22,1220 ng/ml,-,7.66,14566 ng•hr/ml,14566,345 ml/h,-,75%,,1995,Drug Product Label,n/a,http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/202497s000lbl.pdf,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Marqibo,"Leukemia: acute lymphoblastic leukemia, Philadelphia chromosome-negative ",,,
175,Vinorelbine,Navelbine,Tubulin: microtubule destabilizing,779,25,mg/m2,IV,20 min,-,0.811,8.11E-07,0.000632,632,0.63,631.9 ng/ml,-,21.4,584.8 ng•hr/mL,585,78 L/h,-,89%,,1994,"Cancer Chemother Pharmacol 2007, 59(3): 407",http://www.ncbi.nlm.nih.gov/pubmed/17051369,http://link.springer.com/article/10.1007%2Fs00280-006-0359-6,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Vinorelbine,Lung (NSCLC): non small cell lung cancer ,Label recommends up to 30 mg/m2.  Vinorelbine demonstrated high binding to human platelets and lymphocytes; binding to plasma constituents in cancer patients ranged from 79.6% to 91.2%. ,,
176,Vismodegib,Erivedge,Smoothened receptor antagonist/ Hedge Hog inhibitor,421,150,mg,PO,-,q.d.,33.9,3.39E-05,0.014,14282,14,33.9 umol/L,-,96,5240 umol•hr/L,2283446,-,-,>99%,,2012,"Clin Cancer Res 2011, 17(17): 5774",http://www.ncbi.nlm.nih.gov/pubmed/21753154,http://clincancerres.aacrjournals.org/content/17/17/5774.long,https://dailymed.nlm.nih.gov/dailymed/search.cfm?labeltype=all&query=Vismodegib,"Basal cell carcinoma, metastatic",PK data following 50-57 days of dosing,,
